feature,importance_mean,importance_std
num__mileage_num,5802.3384333982885,362.67621694464015
num__year_num,1715.5683519583577,256.43075494004233
cat__transmission_automatic,492.87872816504057,265.5213125637226
cat__recent_repairs_none,373.16706973752264,250.6208558116165
cat__condition_good,174.1826033480862,213.32925013618095
cat__seller_urgency_low,87.09130167404729,174.18260334808002
cat__model_Q3,87.09130167404473,174.18260334807582
cat__make_Audi,87.09130167404328,174.18260334807655
cat__recent_repairs_minor,87.09130167404037,174.1826033480671
cat__model_El Camino,87.09130167403964,174.18260334807746
cat__make_subaru,87.09130167403927,174.18260334807673
cat__model_civic,87.09130167403927,174.18260334807854
cat__make_chevrolet,87.09130167403745,174.18260334807945
cat__make_honda,87.09130167403563,174.18260334807854
cat__make_Chevy,87.09130167403164,174.1826033480833
cat__condition_excellent,18.89578954513454,389.83076088877914
cat__make_Chevrolet,1.7171259969472886e-10,3.628142967955351e-11
cat__recent_repairs_major,1.4988472685217858e-10,4.6198033824880683e-11
cat__model_Bel Air,1.1095835361629725e-10,0.0
cat__transmission_manual,9.276845958083868e-11,1.0225244712313867e-11
cat__model_Camaro,4.4383341446518895e-11,5.093170329928399e-12
cat__make_Subaru,3.8198777474462986e-11,4.6045948204982386e-11
cat__model_Elantra,2.037268131971359e-11,3.710738383233547e-11
cat__make_Hyundai,2.037268131971359e-11,3.710738383233547e-11
cat__model_Legacy,1.9281287677586078e-11,3.7659670618035406e-11
cat__model_Malibu LT,1.8917489796876908e-11,3.7834979593753816e-11
cat__make_Dodge,1.4915713109076022e-11,4.927279355859213e-11
cat__make_Lexus,1.1641532182693482e-11,9.666349983007547e-12
cat__make_Chrysler,1.1641532182693482e-11,8.911191772433734e-13
cat__model_Pacifica,1.1641532182693482e-11,8.911191772433734e-13
cat__model_LC 500,7.275957614183426e-12,0.0
cat__make_Volkswagen,5.093170329928398e-12,9.303557346389004e-12
cat__model_Grand Caravan,4.365574568510055e-12,8.731149137020112e-12
cat__model_Rogue,3.2741809263825417e-12,3.884298440254974e-12
cat__model_Civic,2.9103830456733705e-12,4.083621082944528e-12
