feature,importance_mean,importance_std
num__mileage_num,2379.501347878156,138.43812775052763
cat__condition_excellent,569.0279789406246,119.11848799321186
num__year_num,373.97240543692425,21.72236761666183
cat__transmission_automatic,74.80215924591357,24.52632380919298
cat__recent_repairs_minor,56.896837297820824,69.68410967905031
cat__seller_urgency_medium,28.448418649040832,56.89683729788749
cat__make_GMC,28.448418648947882,56.89683729787894
cat__make_Honda,28.448418648942607,56.89683729788385
cat__model_Civic,28.448418648942244,56.89683729788449
cat__model_Altima,28.448418648941878,56.89683729788466
cat__model_colorado,28.44841864894097,56.89683729788512
cat__make_chevy,28.448418648940606,56.896837297885305
cat__make_Nissan,28.44841864891896,56.89683729789612
cat__make_chevrolet,28.448418648912774,56.89683729789649
cat__condition_good,28.448418648899132,56.896837297940145
cat__recent_repairs_none,25.20160590363157,128.26919357435105
cat__transmission_manual,3.6579876905307173e-10,6.098363742872683e-12
cat__make_Chevrolet,2.4501787265762685e-10,4.06925452316902e-11
cat__model_Bel Air,1.9554136088117957e-10,0.0
cat__model_Chevelle SS,1.0459189070388675e-10,0.0
cat__model_Camaro,7.421476766467094e-11,1.0913936421275138e-12
cat__make_Ford,4.547473508864641e-11,5.780838758099236e-12
cat__model_Mustang GT,3.965396899729967e-11,4.4555958862168663e-13
cat__recent_repairs_major,2.8558133635669945e-11,4.698347869074311e-11
cat__make_Land Rover,1.8553691916167735e-11,7.275957614183425e-13
cat__model_Defender 90,1.8553691916167735e-11,7.275957614183425e-13
cat__make_Hyundai,1.6552803572267293e-11,2.925351217414518e-11
cat__model_Elantra,1.5643308870494365e-11,2.947885452869071e-11
cat__make_Volkswagen,1.4006218407303095e-11,2.6669139054300107e-11
cat__model_X2,1.3642420526593924e-11,2.6832405877337114e-11
cat__model_Acadia SLT AWD SUV,1.3642420526593924e-11,2.6384753239790364e-11
cat__model_Passat,1.3460521586239339e-11,2.6921043172478677e-11
cat__make_Mercedes Benz,1.3278622645884752e-11,2.6557245291769504e-11
cat__model_AMG GLE 43 Studio,1.3278622645884752e-11,2.6557245291769504e-11
cat__make_BMW,1.3278622645884752e-11,2.702653451903935e-11
cat__make_Lexus,6.912159733474254e-12,7.275957614183425e-13
cat__model_LC 500,6.730260793119669e-12,7.275957614183425e-13
cat__make_CHRYSLER,5.093170329928398e-12,7.275957614183425e-13
cat__model_PACIFICA TOURING L,5.093170329928398e-12,7.275957614183425e-13
cat__model_Fusion,4.911271389573813e-12,5.740633728440844e-12
cat__seller_urgency_low,4.0017766878008846e-12,1.233698637065621e-12
cat__model_El Camino,3.2741809263825417e-12,6.5483618527650835e-12
cat__model_crosstrek,3.2741809263825417e-12,6.573577047526724e-12
cat__make_subaru,2.7284841053187847e-12,6.854477280800628e-12
cat__make_Chevy,2.546585164964199e-12,6.543307153553523e-12
cat__model_Impreza,2.1827872842550277e-12,5.769380196271852e-12
cat__make_ford,2.1827872842550277e-12,7.198235448380502e-12
cat__model_Sedan,2.0008883439004423e-12,8.911191772433733e-13
cat__model_soul +,1.6370904631912709e-12,3.274180926382542e-12
cat__model_Forester,1.2732925824820995e-12,3.0219321571778253e-12
cat__model_Yukon XL,1.0913936421275138e-12,2.182787284255028e-12
cat__model_F-150,1.0913936421275138e-12,2.1827872842550277e-12
cat__model_pick up,9.094947017729282e-13,0.0
cat__make_Kia,7.275957614183426e-13,2.898992070278696e-12
cat__model_Town & Country,5.456968210637569e-13,7.275957614183425e-13
cat__make_Pontiac,5.456968210637569e-13,7.275957614183425e-13
cat__model_CHEVELLE,5.456968210637569e-13,1.0913936421275138e-12
cat__make_Jaguar,3.637978807091713e-13,7.275957614183427e-13
cat__model_legacy,3.637978807091713e-13,7.275957614183427e-13
cat__model_Element,3.637978807091713e-13,7.275957614183426e-13
cat__model_XJS Roadster,3.637978807091713e-13,4.455595886216867e-13
